hour_index,avg_cpu_utilization,num_tasks_sampled,timestamp_utc_assumed
0,0.0081114795674553,6895864,2019-05-01 00:00:00+00:00
1,0.00749105440578,7801943,2019-05-01 01:00:00+00:00
2,0.0073350805080293,8105308,2019-05-01 02:00:00+00:00
3,0.0072131810155797,8342196,2019-05-01 03:00:00+00:00
4,0.0074621872983425,8120156,2019-05-01 04:00:00+00:00
5,0.0081769826643687,8034647,2019-05-01 05:00:00+00:00
6,0.0083631817224193,8056839,2019-05-01 06:00:00+00:00
7,0.0084185918436785,8117139,2019-05-01 07:00:00+00:00
8,0.0084518543004559,8020109,2019-05-01 08:00:00+00:00
9,0.0088042947085718,8008169,2019-05-01 09:00:00+00:00
10,0.0091925608084654,7679738,2019-05-01 10:00:00+00:00
11,0.0099466388497672,7420071,2019-05-01 11:00:00+00:00
12,0.0099450225631963,7346184,2019-05-01 12:00:00+00:00
13,0.0099910127582641,7446025,2019-05-01 13:00:00+00:00
14,0.0097453606951648,7488439,2019-05-01 14:00:00+00:00
15,0.0095599290564289,7338290,2019-05-01 15:00:00+00:00
16,0.0096126059833875,7546498,2019-05-01 16:00:00+00:00
17,0.0099930719103007,7331075,2019-05-01 17:00:00+00:00
18,0.0098614240433949,7349964,2019-05-01 18:00:00+00:00
19,0.0100118602834433,7209110,2019-05-01 19:00:00+00:00
20,0.0098063247235078,6887018,2019-05-01 20:00:00+00:00
21,0.0101346414157482,7442477,2019-05-01 21:00:00+00:00
22,0.0099614442148723,7441910,2019-05-01 22:00:00+00:00
23,0.0097064030637413,7655168,2019-05-01 23:00:00+00:00
24,0.0097812950419122,7564534,2019-05-02 00:00:00+00:00
25,0.0091750917138832,7585341,2019-05-02 01:00:00+00:00
26,0.008673520135371,7916107,2019-05-02 02:00:00+00:00
27,0.0085279906330576,8127409,2019-05-02 03:00:00+00:00
28,0.0085773054018419,7836109,2019-05-02 04:00:00+00:00
29,0.009657049737987,7535412,2019-05-02 05:00:00+00:00
30,0.0096553945071351,7627783,2019-05-02 06:00:00+00:00
31,0.0098074369909865,7668079,2019-05-02 07:00:00+00:00
32,0.0099338911014376,7686371,2019-05-02 08:00:00+00:00
33,0.00984072717049,7618648,2019-05-02 09:00:00+00:00
34,0.010079991070087,7504284,2019-05-02 10:00:00+00:00
35,0.0098992568035162,7504362,2019-05-02 11:00:00+00:00
36,0.0096140548654926,7626412,2019-05-02 12:00:00+00:00
37,0.0093761773236342,7615254,2019-05-02 13:00:00+00:00
38,0.0092599947866947,7624930,2019-05-02 14:00:00+00:00
39,0.0092915974066568,7684480,2019-05-02 15:00:00+00:00
40,0.0091911026264252,7679296,2019-05-02 16:00:00+00:00
41,0.0091307849981417,7608473,2019-05-02 17:00:00+00:00
42,0.0092134434840059,7963942,2019-05-02 18:00:00+00:00
43,0.0093814474257218,8036908,2019-05-02 19:00:00+00:00
44,0.0094731629501362,7802028,2019-05-02 20:00:00+00:00
45,0.0096636736317812,7677491,2019-05-02 21:00:00+00:00
46,0.0099572280879084,7222583,2019-05-02 22:00:00+00:00
47,0.009905521399089,7206657,2019-05-02 23:00:00+00:00
48,0.0098520473578363,7340797,2019-05-03 00:00:00+00:00
49,0.0094572696032098,7535702,2019-05-03 01:00:00+00:00
50,0.0086895757614825,7926662,2019-05-03 02:00:00+00:00
51,0.0086813522137513,7971481,2019-05-03 03:00:00+00:00
52,0.0093358024322132,7872537,2019-05-03 04:00:00+00:00
53,0.0095120169799286,7969086,2019-05-03 05:00:00+00:00
54,0.0099908166408574,7609567,2019-05-03 06:00:00+00:00
55,0.0099775822710082,7918671,2019-05-03 07:00:00+00:00
56,0.0100529942697701,7847113,2019-05-03 08:00:00+00:00
57,0.0102477641405922,7642712,2019-05-03 09:00:00+00:00
58,0.0101335111356127,7620422,2019-05-03 10:00:00+00:00
59,0.0101779901160882,7665576,2019-05-03 11:00:00+00:00
60,0.0101129247435729,7539645,2019-05-03 12:00:00+00:00
61,0.0092992906930935,7736734,2019-05-03 13:00:00+00:00
62,0.0093109153688971,7596194,2019-05-03 14:00:00+00:00
63,0.0089348404651345,7773604,2019-05-03 15:00:00+00:00
64,0.0089153304760719,7911666,2019-05-03 16:00:00+00:00
65,0.008829333547492,7911970,2019-05-03 17:00:00+00:00
66,0.0092050403742314,7756926,2019-05-03 18:00:00+00:00
67,0.0096796402091682,7823952,2019-05-03 19:00:00+00:00
68,0.0100567632180872,7456969,2019-05-03 20:00:00+00:00
69,0.0102215967144147,6955421,2019-05-03 21:00:00+00:00
70,0.0101566719208445,7163629,2019-05-03 22:00:00+00:00
