timestamp,avg_cpu_utilization,num_tasks_sampled,temperature_c,carbon_intensity_kg_per_mwh
2019-05-01 06:00:00+00:00,0.0079828774406607,626350,14.9,305.72472094550227
2019-05-01 07:00:00+00:00,0.008020671427672,7568362,14.4,302.9345528399121
2019-05-01 08:00:00+00:00,0.0074764018216919,7828082,14.2,312.34442836468884
2019-05-01 09:00:00+00:00,0.0072650913752591,8171336,13.6,313.88794474732504
2019-05-01 10:00:00+00:00,0.0072811877713541,8293739,13.0,334.1464956875838
2019-05-01 11:00:00+00:00,0.0075139481834359,8122097,12.9,351.50464204416795
2019-05-01 12:00:00+00:00,0.0082601112994491,8009427,12.5,358.27088937894723
2019-05-01 13:00:00+00:00,0.0083590358044261,8117538,13.4,360.9194615560119
2019-05-01 14:00:00+00:00,0.0084365336995451,8072643,14.7,365.3357501016398
2019-05-01 15:00:00+00:00,0.0084827072894397,8012550,16.2,365.9626473496506
2019-05-01 16:00:00+00:00,0.0089080367180737,8020863,17.5,370.4972449047335
2019-05-01 17:00:00+00:00,0.0092671507181219,7586436,19.9,364.9689060173425
2019-05-01 18:00:00+00:00,0.0099947324156364,7421277,21.1,361.9584234376189
2019-05-01 19:00:00+00:00,0.0100003253273301,7336585,22.2,364.1564353402053
2019-05-01 20:00:00+00:00,0.0099078207719174,7451588,23.2,372.4664012756126
2019-05-01 21:00:00+00:00,0.0097160647851721,7475630,24.1,373.5260159267972
2019-05-01 22:00:00+00:00,0.009577305587437,7365485,24.0,380.000217282663
2019-05-01 23:00:00+00:00,0.009597733861132,7531120,22.6,383.6923416464357
2019-05-02 00:00:00+00:00,0.0101079590117278,7278798,15.0,380.00260977360216
2019-05-02 01:00:00+00:00,0.0098373484823692,7364420,15.2,387.3937110273767
2019-05-02 02:00:00+00:00,0.0100010933024161,7203236,15.9,390.8142964141935
2019-05-02 03:00:00+00:00,0.0098398363997264,6896361,14.9,383.2239530448996
2019-05-02 04:00:00+00:00,0.0101066408046893,7493874,14.8,327.7201159329469
2019-05-02 05:00:00+00:00,0.0098748540087619,7460945,14.6,359.501919781052
2019-05-02 06:00:00+00:00,0.0097357786617354,7667717,14.2,348.8503011925321
2019-05-02 07:00:00+00:00,0.0097535929853943,7536434,15.4,339.02756823481
2019-05-02 08:00:00+00:00,0.0090440701476122,7634735,15.6,340.630769862002
2019-05-02 09:00:00+00:00,0.008646798012739,7928121,14.3,353.6801141694306
2019-05-02 10:00:00+00:00,0.0084589870888634,8178532,14.4,364.6418548203585
2019-05-02 11:00:00+00:00,0.0087764548394689,7716430,14.7,379.31111594623343
2019-05-02 12:00:00+00:00,0.0096627864226781,7548714,14.9,387.045931452553
2019-05-02 13:00:00+00:00,0.0097204863028153,7622150,18.3,388.2090965078351
2019-05-02 14:00:00+00:00,0.0098249744049445,7666472,21.6,388.28234633735616
2019-05-02 15:00:00+00:00,0.0099115323943615,7694412,24.8,397.74651311863136
2019-05-02 16:00:00+00:00,0.0099034364269126,7580820,27.4,384.4824217690028
2019-05-02 17:00:00+00:00,0.0100568169514392,7518583,29.0,385.4139595812337
2019-05-02 18:00:00+00:00,0.0098278296436036,7504389,29.9,387.6736866082707
2019-05-02 19:00:00+00:00,0.0096100215027178,7654845,26.6,389.99846035411855
2019-05-02 20:00:00+00:00,0.009321141369906,7602905,26.9,386.6268598677882
2019-05-02 21:00:00+00:00,0.0092836267603317,7653028,25.5,387.9289940828402
2019-05-02 22:00:00+00:00,0.0092154304307326,7691868,23.9,398.1416788969965
2019-05-02 23:00:00+00:00,0.0091963227328844,7636155,22.2,400.8357178304069
2019-05-03 00:00:00+00:00,0.0091511397241161,7696579,20.6,397.7816437345142
2019-05-03 01:00:00+00:00,0.0093012854393464,7921449,19.4,405.36146569835023
2019-05-03 02:00:00+00:00,0.0092808105228923,8122968,19.0,403.0782590810928
2019-05-03 03:00:00+00:00,0.0095627973133445,7711495,18.5,395.4798015929794
2019-05-03 04:00:00+00:00,0.0096666035271605,7659256,15.8,366.8187975957175
2019-05-03 05:00:00+00:00,0.0100593512008338,7149839,16.9,358.4253903797604
2019-05-03 06:00:00+00:00,0.0099032790209843,7194912,16.9,359.0422535211268
2019-05-03 07:00:00+00:00,0.0097378319005012,7385811,15.5,353.4778246308625
2019-05-03 08:00:00+00:00,0.009406525715492,7568542,15.1,354.3746944097354
2019-05-03 09:00:00+00:00,0.0085506366971373,8003657,14.6,361.11949801121074
2019-05-03 10:00:00+00:00,0.0088453078083507,7907973,13.4,373.4835344626096
2019-05-03 11:00:00+00:00,0.0093425714705909,7902154,16.4,385.6585783480127
2019-05-03 12:00:00+00:00,0.009643292481206,7906465,16.5,389.6390168093154
2019-05-03 13:00:00+00:00,0.0099564249923343,7652934,18.1,393.35570394978873
2019-05-03 14:00:00+00:00,0.0099777283352683,7940797,19.0,389.5746002173576
2019-05-03 15:00:00+00:00,0.0101075862187396,7831996,20.0,392.296502053095
2019-05-03 16:00:00+00:00,0.01022816282896,7579774,21.4,389.164865246532
2019-05-03 17:00:00+00:00,0.010155659651677,7659730,23.7,389.75276158998
2019-05-03 18:00:00+00:00,0.0101558227556833,7667531,24.6,384.2249193759261
2019-05-03 19:00:00+00:00,0.0100973021272321,7488294,25.9,381.8888852605341
2019-05-03 20:00:00+00:00,0.0091129021146103,7835398,22.9,387.12412132257225
2019-05-03 21:00:00+00:00,0.0093201676708264,7562401,22.4,382.78859261682754
2019-05-03 22:00:00+00:00,0.0089236383809445,7770871,22.8,389.9877671122671
2019-05-03 23:00:00+00:00,0.0089452588471181,7947230,22.2,392.55449163564606
2019-05-04 00:00:00+00:00,0.0087519078199801,7957131,20.4,395.47296166080696
2019-05-04 01:00:00+00:00,0.009348537554019,7720730,19.6,402.6101298028752
2019-05-04 02:00:00+00:00,0.0097298085164399,7794130,19.0,393.39208876139446
2019-05-04 03:00:00+00:00,0.0101507059692003,7356339,18.2,379.3032531472018
2019-05-04 04:00:00+00:00,0.0102356399408479,6898572,17.6,374.7476825364173
2019-05-04 05:00:00+00:00,0.0100994864123497,7190804,17.2,359.4957704428595
2019-05-04 06:00:00+00:00,0.0093981502350766,7408344,15.9,361.0263860312517
2019-05-04 07:00:00+00:00,0.0092324048333015,7557657,16.1,354.6628417622893
2019-05-04 08:00:00+00:00,0.0088330342673867,7645557,16.8,350.69178645346034
2019-05-04 09:00:00+00:00,0.008493900265038,7845888,16.7,353.05833832606487
2019-05-04 10:00:00+00:00,0.0083400068867867,7991412,16.5,357.06264450071563
2019-05-04 11:00:00+00:00,0.009167623843467,7674175,16.7,360.00769667017744
2019-05-04 12:00:00+00:00,0.0090367076013194,7831480,15.9,365.43141448655416
2019-05-04 13:00:00+00:00,0.0092452993496628,7630965,17.5,375.8505987454856
2019-05-04 14:00:00+00:00,0.0092931844580326,7649810,18.9,383.2424800491099
2019-05-04 15:00:00+00:00,0.0091814629487645,7780320,21.2,383.42245665090337
2019-05-04 16:00:00+00:00,0.009359290372418,7777812,23.1,383.9717226778283
2019-05-04 17:00:00+00:00,0.0091981393351739,7242083,23.5,385.9392137268761
2019-05-04 18:00:00+00:00,0.0090106551059781,7760070,24.0,386.1789112500912
2019-05-04 19:00:00+00:00,0.0090262168026217,7541841,24.7,383.4115228825343
2019-05-04 20:00:00+00:00,0.0089510217316723,7258493,24.3,388.44283553058136
2019-05-04 21:00:00+00:00,0.0085368413588744,7550606,24.2,384.5365743115108
2019-05-04 22:00:00+00:00,0.0083479293196942,7404914,23.0,384.34695252532543
2019-05-04 23:00:00+00:00,0.0083726356298215,7071657,21.9,379.9597362361819
2019-05-05 00:00:00+00:00,0.0080322433031507,7195381,19.3,382.0864966814688
2019-05-05 01:00:00+00:00,0.0080058519095973,7253122,19.0,388.6580040091638
2019-05-05 02:00:00+00:00,0.0079290548016326,7209146,18.4,390.6319495922906
2019-05-05 03:00:00+00:00,0.0084621513856805,7191118,17.7,374.732897569171
2019-05-05 04:00:00+00:00,0.0086553452670845,7231480,17.6,369.3100947981846
